Date,month,NestID,ClutchSize,TQ,GS,RW,Territory,Year,Pair,InitDateEst,female,mean,delta
22-Feb-08,8,262,3,15,2,296.8,2,2007,153,23-Feb-08,18,150.66,146.14
8-Apr-08,10,293,3,15,2,86.3,2,2007,153,9-Apr-08,18,150.66,-64.36
18-Mar-06,9,2,2,15,2,219.4,3,2005,32,20-Mar-06,19,107.51,111.89
2-Aug-06,2,34,3,15,2,0.6,3,2006,32,3-Aug-06,19,107.51,-106.91
13-Nov-06,5,69,3,15,5,86.4,3,2006,32,13-Nov-06,19,107.51,-21.11
10-Feb-07,8,191,2,15,4,154.8,3,2006,32,11-Feb-07,19,107.51,47.29
11-Aug-07,2,132,2,15,4,0,3,2007,57,11-Aug-07,19,107.51,-107.51
2-Sep-07,3,141,2,15,4,0,3,2007,57,6-Sep-07,19,107.51,-107.51
7-Oct-07,4,151,2,15,3,0,3,2007,57,8-Oct-07,19,107.51,-107.51
28-Dec-07,6,173,3,15,3,204.1,3,2007,57,28-Dec-07,19,107.51,96.59
19-Jan-08,7,205,3,15,3,306,3,2007,57,19-Jan-08,19,107.51,198.49
20-Mar-08,9,276,3,15,3,103.8,3,2007,57,21-Mar-08,19,107.51,-3.71
17-Feb-09,8,334,4,13,2,497.5,14,2008,61,17-Feb-09,20,110.2,387.3
28-Mar-09,9,381,3,13,2,80.3,14,2008,61,28-Mar-09,20,110.2,-29.9
10-Aug-10,2,498,3,11,3,0.15,17,2010,111,11-Aug-10,20,110.2,-110.05
21-Mar-06,9,4,1,8,2,201.8,5,2005,112,27-Mar-06,20,110.2,91.6
28-May-06,11,25,3,8,2,1.4,5,2005,112,28-May-06,20,110.2,-108.8
14-Jun-06,12,92,1,8,2,0,5,2005,112,17-Jun-06,20,110.2,-110.2
3-Sep-06,3,49,2,8,3,0,5,2006,112,4-Sep-06,20,110.2,-110.2
13-Oct-06,4,52,1,8,3,0,5,2006,112,13-Oct-06,20,110.2,-110.2
31-Oct-06,4,59,3,8,2,80.5,5,2006,112,31-Oct-06,20,110.2,-29.7
